Title,Franchise
Avengers Infinity War,Franchise
Beauty and the Beast,Franchise
Bird Box,Non-Franchise
Black Panther,Franchise
Bright,Non-Franchise
Coco,Non-Franchise
Dunkirk,Non-Franchise
Incredibles 2,Franchise
Jurassic World,Franchise
Ladies in Black,Non-Franchise
Lion,Non-Franchise
Mowgli: Legend of the Jungle,Non-Franchise
Night School,Non-Franchise
Occupation,Non-Franchise
Overlord,Non-Franchise
Polar,Non-Franchise
Predator,Franchise
Star Wars: The Last Jedi,Franchise
Strange Colours,Non-Franchise
Sweet Country,Non-Franchise
The Greatest Showman,Non-Franchise
The Grinch,Non-Franchise
The Meg,Non-Franchise
To All the Boys I've Loved Before,Non-Franchise
Wonder Woman,Franchise