Title,Type
Avengers Infinity War,Franchaise
Beauty and the Beast,Non-Franchaise
Bird Box,Non-Franchaise
Black Panther,Non-Franchaise
Bright,Non-Franchaise
Coco,Non-Franchaise
Dunkirk,Non-Franchaise
Incredibles 2,Franchaise
Jurassic World,Franchaise
Ladies in Black,Non-Franchaise
Lion,Non-Franchaise
Mowgli: Legend of the Jungle,Non-Franchaise
Night School,Non-Franchaise
Occupation,Non-Franchaise
Overlord,Non-Franchaise
Polar,Non-Franchaise
Predator,Non-Franchaise
Star Wars: The Last Jedi,Franchaise
Strange Colours,Non-Franchaise
Sweet Country,Non-Franchaise
The Greatest Showman,Non-Franchaise
The Grinch,Non-Franchaise
The Meg,Non-Franchaise
To All the Boys I've Loved Before,Non-Franchaise
Wonder Woman,Franchaise